State	Date	Degree
Alabama	July 16	3
Arkansas	July 20	3
California	June 18	3
Colorado	July 17	2
Connecticut	April 20	3
Delaware	May 1	3
Hawaii	April 17	2
Illinois	May 1	3
Indiana	July 27	3
Iowa	November 17	3
Kansas	July 3	2
Kansas	November 18 3
Kentucky	July 10	3
Louisiana	July 13	3
Maine	April 13	3
Maryland	April 15	2
Massachutsetts	May 6	3
Michigan	April 24	2
Michigan	July 13	3
Minnesota	July 25	3
Mississippi	October 1	2
Mississippi	December 2	3
Montana	July 15	3
Nevada	June 26	3
New Hampshire	August 11	1
New Hampshire	November 20	3
New Jersey	April 10	2
New Jersey	July 8	3
New Mexico	May 16	3
New York	April 15	3
New York	May 15	1
North Carolina	June 26	3
North Dakota	November 14	3
Ohio	July 8	2
Ohio	July 23	3
Oregon	July 1	2
Oregon	July 13	3
Pennsylvania	July 1	3
Rhode Island	May 8	3
South Carolina	August 3	1
Texas	July 3	2
Utah	November 9	3
Vermont	August 1	3
Viginia	May 30 	3
Washington	June 8	3
West Virginia	July 6	2
Wisconsin	August 1	2
Wyoming	December 9	3