state	demVotes	repVotes	population
Alaska	0.447	0.553	731545
Alabama	0.371	0.629	4903185
Arkansas	0.358	0.642	3017804
Arizona	0.502	0.498	7278717
California	0.649	0.351	39512223
Colorado	0.569	0.431	5758736
Connecticut	0.602	0.398	3565287
District of Columbia	0.945	0.055	705749
Delaware	0.596	0.404	973764
Florida	0.483	0.517	21477737
Georgia	0.501	0.499	10617423
Hawaii	0.65	0.35	1415872
Iowa	0.458	0.542	3155070
Idaho	0.341	0.659	1787065
Illinois	0.587	0.413	12671821
Indiana	0.418	0.582	6732219
Kansas	0.425	0.575	2913314
Kentucky	0.368	0.632	4467673
Louisiana	0.405	0.595	4648794
Massachusetts	0.671	0.329	6892503
Maryland	0.67	0.33	6045680
Maine	0.547	0.453	1344212
Michigan	0.514	0.486	9986857
Minnesota	0.536	0.464	5639632
Missouri	0.422	0.578	6137428
Mississippi	0.416	0.584	2976149
Montana	0.416	0.584	1068778
North Carolina	0.493	0.507	10488084
North Dakota	0.328	0.672	762062
Nebraska	0.402	0.598	1934408
New Hampshire	0.537	0.463	1359711
New Jersey	0.581	0.419	8882190
New Mexico	0.555	0.445	2096829
Nevada	0.512	0.488	3080156
New York	0.617	0.383	19453561
Ohio	0.459	0.541	11689100
Oklahoma	0.331	0.669	3956971
Oregon	0.583	0.417	4217737
Pennsylvania	0.506	0.494	12801989
Rhode Island	0.606	0.394	1059361
South Carolina	0.441	0.559	5148714
South Dakota	0.366	0.634	884659
Tennessee	0.382	0.618	6829174
Texas	0.472	0.528	28995881
Utah	0.393	0.607	3205958
Virginia	0.552	0.448	8535519
Vermont	0.683	0.317	623989
Washington	0.599	0.401	7614893
Wisconsin	0.503	0.497	5822434
West Virginia	0.302	0.698	1792147
Wyoming	0.275	0.725	578759